,Diện tích,Số tầng,Đường vào,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Quận_encoded
51,217.0,9,,3.0,0,1,0,0,0,0,0,44,0.0,0.0,0.0,1.0,0.0,44.69026545333514
52,191.0,2,20.0,3.0,0,0,0,1,0,0,0,8,0.0,0.0,1.0,0.0,0.0,44.69026545333514
53,42.0,3,2.0,0.0,1,0,0,0,0,0,0,5,0.0,0.0,0.0,1.0,0.0,44.69026545333514
54,96.0,4,20.0,3.0,0,0,0,1,1,0,0,9,0.0,0.0,0.0,1.0,0.0,12.664127058271283
55,76.0,3,6.0,3.0,0,0,1,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,15.25688957809374
56,68.0,4,10.0,2.0,0,0,1,1,1,0,0,11,0.0,0.0,0.0,0.0,1.0,9.226974492834636
57,119.0,5,,3.0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,22.79348057598528
58,22.0,3,10.0,3.0,0,0,0,0,0,0,0,6,0.0,0.0,1.0,0.0,0.0,12.664127058271283
59,43.0,3,,2.0,0,1,1,0,0,0,0,5,0.0,0.0,0.0,1.0,0.0,15.25688957809374
60,81.0,4,8.0,0.0,1,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,1.0,8.300633551777777
61,58.0,2,,0.0,1,1,1,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,8.442832785570205
62,56.0,4,3.0,1.0,0,0,1,0,0,0,1,9,0.0,0.0,0.0,0.0,1.0,11.524548031698988
63,62.0,3,10.0,3.0,0,0,1,0,0,0,0,7,0.0,0.0,0.0,0.0,1.0,8.442832785570205
64,96.0,4,30.0,3.0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,24.61294356994541
65,67.0,3,,3.0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,0.0,1.0,9.226974492834636
66,51.0,3,8.0,0.0,1,0,0,0,0,0,0,9,0.0,0.0,1.0,0.0,0.0,8.442832785570205
67,55.0,5,8.0,2.0,0,0,1,0,0,0,0,11,0.0,0.0,0.0,1.0,0.0,15.25688957809374
68,74.0,4,12.0,3.0,0,0,1,0,1,1,0,7,0.0,0.0,0.0,0.0,1.0,24.61294356994541
69,79.0,2,6.0,2.0,0,0,1,1,0,0,0,4,0.0,0.0,1.0,0.0,0.0,15.25688957809374
70,59.0,3,5.0,2.0,0,0,1,0,1,1,0,6,0.0,0.0,0.0,0.0,1.0,13.674404235916532
71,150.0,4,,0.0,1,1,0,1,1,0,0,10,0.0,0.0,0.0,1.0,0.0,9.226974492834636
72,119.0,1,16.0,3.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0,0.0,24.61294356994541
73,63.0,2,6.0,3.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,13.674404235916532
74,62.0,5,12.0,0.0,1,0,0,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,8.442832785570205
75,225.0,3,,0.0,1,1,0,0,0,0,0,6,0.0,0.0,0.0,1.0,0.0,9.226974492834636
76,81.0,4,5.0,3.0,0,0,1,1,1,1,0,10,0.0,0.0,0.0,0.0,1.0,15.25688957809374
