Mô hình,Macro F1 (mean),Macro F1 (std),Accuracy (mean),Accuracy (std),W-F1 (mean),W-F1 (std)
XGBoost,0.5908728681062179,0.022140753584091018,0.6431776815414548,0.02600968397048804,0.6454637193212984,0.026017010980026678
Random Forest,0.5559018812321851,0.016863453237563008,0.6130439967363335,0.006559638757390574,0.6152867624239304,0.008115274636034403
SVM RBF,0.5149268756192755,0.018435258948178372,0.5854045063704261,0.010033428090269114,0.589022570926112,0.009782292141741427
Logistic Regression,0.48079019011892826,0.025877292161816924,0.5563522249419444,0.01768418804675548,0.5544194734368787,0.017518278676175825
Extra Trees,0.47317615687880477,0.013700137070994805,0.5503257390321974,0.01533340279498459,0.5444587547768265,0.016617293528139752
